Table S2. Dual-mycorrhizal plants with confirmed occurrence of key mycorrhizal structures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Confirmed plant species with dual status,,,,,,,,,,,,,,,,,,,,,,,,,
Family,Genus,Woody (shrub or tree) taxa?,Estimated number of plant species1,Number of confirmed species,Spp1,Spp2,Spp3,Spp4,Spp5,Spp6,Spp7,Spp8,Spp9,Spp10,Spp11,Spp12,Spp13,Spp14,Spp15,Spp16,Spp17,Spp18,Spp19,Spp20,Spp21,Spp22,Spp23,Spp24,Spp25,
Phyllanthaceae,Uapaca,yes,27,8,Uapaca staudtii,Uapaca guineensis ,Uapaca somon ,Uapaca staudtii,Uapaca bojeri,Uapaca ferruginea,Uapaca littoralis,Uapaca thouarsii,,,,,,,,,,,,,,,,,,
Pinaceae,Pinus,yes,113,1,Pinus muricata,,,,,,,,,,,,,,,,,,,,,,,,,
Pinaceae,Pseudotsuga,yes,4,1,Pseudotsuga menziesii,,,,,,,,,,,,,,,,,,,,,,,,,
Pinaceae,Tsuga,yes,9,1,Tsuga heterophylla,,,,,,,,,,,,,,,,,,,,,,,,,
Polygalaceae,Coccoloba,yes,177,1,Coccoloba warmingii,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculaceae,Pulsatilla ,no,53,1,Pulsatilla patens,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnaceae,Cryptandra,yes,63,2,Cryptandra arbutiflora,Cryptandra tomentosa,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnaceae,Pomaderris,yes,74,5,Pomaderris apetala,Pomaderris aspera,Pomaderris elliptica,Pomaderris eriocephala,Pomaderris obcordata,,,,,,,,,,,,,,,,,,,,,
Rhamnaceae,Spyridium,yes,46,3,Spyridium parvifolium,Spyridium vexilliferum,Spyridium globulosum,,,,,,,,,,,,,,,,,,,,,,,
Rhamnaceae,Stenanthemum,yes,26,1,Stenanthemum notiale,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnaceae,Trymalium,yes,13,2,Trymalium floribundum,Trymalium d'altonii,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,Adenostoma,yes,2,1,Adenostoma fasciculatum,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,Crataegus,yes,303,1,Crataegus monogyna,,,,,,,,,,,,,,,,,,,,,,,,,
Salicaceae,Populus,yes,108,6,Populus fremontii,Populus nigra,Populus tremula,Populus deltoides,Populus grandidentata,Populus tremuloides,,,,,,,,,,,,,,,,,,,,
Salicaceae,Salix,yes,685,6,Salix glauca,Salix humboldtiana,Salix nigra,Salix nigricans,Salix sitchensis,Salix alba,,,,,,,,,,,,,,,,,,,,
Sapindaceae,Dodonaea,yes,71,1,Dodonaea viscosa,,,,,,,,,,,,,,,,,,,,,,,,,
Sapotaceae,Manilkara,yes,79,1,Manilkara sp.,,,,,,,,,,,,,,,,,,,,,,,,,
Sarcolaenaceae,Leptolaena,yes,9,4,Leptolaena pauciflora,Leptolaena multiflora,Leptolaena sp1,Leptolaena sp2,,,,,,,,,,,,,,,,,,,,,,
Sarcolaenaceae,Sarcolaena,yes,8,3,Sarcolaena eriophora,Sarcolaena grandiflora,Sarcolaena multiflora,,,,,,,,,,,,,,,,,,,,,,,
Sarcolaenaceae,Schizolaena,yes,22,3,Schizolaena elongata,Schizolaena exinvolucrata,Schizolaena sp.,,,,,,,,,,,,,,,,,,,,,,,
Thymelaeaceae,Pimelea,spp. dependent,144,1,Pimelea spathulata,,,,,,,,,,,,,,,,,,,,,,,,,
Ulmaceae,Ulmus,yes,89,2,Ulmus japonica,Ulmus laciniata,,,,,,,,,,,,,,,,,,,,,,,,
